timestamp,compression_number,z_value,esp_id,imu_number,ax,ay,az,gx,gy,gz
1772551335.1622968,0,0.0,63261,4,-0.100556,0.349553,-11.592725,-0.026913,-0.005196,-0.003997
1772551335.1689322,1,0.0,63290,1,0.972046,0.282516,-11.535264,0.000799,-0.00493,-0.031443
1772551335.1751697,1,0.0,63290,2,1.201889,-0.191536,-11.300632,-0.011858,0.011858,-0.033974
1772551335.1806605,1,0.0,63290,3,-0.172383,-0.071826,-11.693281,-0.043034,-0.00493,-0.020118
1772551335.185829,1,0.0,63290,4,-0.09098,0.311246,-11.621455,-0.026913,-0.005862,-0.003997
1772551335.192721,1,0.0,63319,1,0.967257,0.301669,-11.568783,0.000133,-0.005596,-0.031842
1772551335.198295,1,0.0,63319,2,1.201889,-0.172383,-11.305421,-0.012257,0.011858,-0.034107
1772551335.205159,1,0.0,63319,3,-0.167594,-0.062249,-11.674128,-0.044499,-0.006528,-0.020118
1772551335.210803,1,0.0,63319,4,-0.129287,0.325611,-11.60709,-0.026513,-0.006395,-0.003597
1772551335.2227528,1,0.0,63348,1,0.957681,0.292093,-11.549629,-0.000266,-0.004263,-0.031842
1772551335.2282588,1,0.0,63348,2,1.173159,-0.167594,-11.314998,-0.01279,0.011591,-0.034374
1772551335.2370112,1,0.0,63348,3,-0.181959,-0.057461,-11.707646,-0.044233,-0.005862,-0.019452
1772551335.2421105,1,0.0,63348,4,-0.114922,0.325611,-11.631032,-0.026646,-0.006795,-0.003198
1772551335.2516007,1,0.0,63377,1,0.972046,0.296881,-11.568783,0.0004,-0.00413,-0.031709
1772551335.2573555,1,0.0,63377,2,1.182736,-0.177171,-11.300632,-0.011858,0.010792,-0.032508
1772551335.2649236,1,0.0,63377,3,-0.191536,-0.071826,-11.693281,-0.045032,-0.005995,-0.019452
1772551335.2701309,1,0.0,63377,4,-0.114922,0.301669,-11.63582,-0.02638,-0.005862,-0.003064
1772551335.279887,1,0.0,63406,1,0.972046,0.292093,-11.554418,0.000533,-0.004397,-0.031709
1772551335.2873511,1,0.0,63406,2,1.182736,-0.181959,-11.324574,-0.01279,0.011724,-0.033708
1772551335.2926013,1,0.0,63406,3,-0.172383,-0.071826,-11.69807,-0.044899,-0.005995,-0.019585
1772551335.3010561,1,0.0,63406,4,-0.114922,0.316035,-11.640609,-0.026646,-0.005462,-0.00373
1772551335.3084803,1,0.0,63435,1,0.962469,0.296881,-11.573571,0.000266,-0.00413,-0.032508
1772551335.3153067,1,0.0,63435,2,1.158794,-0.177171,-11.310209,-0.012657,0.010525,-0.034107
1772551335.3209739,1,0.0,63435,3,-0.162806,-0.057461,-11.683704,-0.0441,-0.005862,-0.018652
1772551335.3305511,1,0.0,63435,4,-0.114922,0.320823,-11.621455,-0.026779,-0.006395,-0.003864
1772551335.3386128,1,0.0,63464,1,0.967257,0.296881,-11.573571,0.000666,-0.005329,-0.032109
1772551335.3463054,1,0.0,63464,2,1.201889,-0.167594,-11.314998,-0.012524,0.011058,-0.033441
1772551335.3517635,1,0.0,63464,3,-0.177171,-0.071826,-11.683704,-0.044499,-0.005862,-0.019985
1772551335.3598604,1,0.0,63464,4,-0.124498,0.320823,-11.597513,-0.025847,-0.007061,-0.003997
1772551335.3669841,1,0.0,63493,1,0.972046,0.292093,-11.563994,0.000533,-0.004397,-0.031043
1772551335.3762105,1,0.0,63493,2,1.16837,-0.186748,-11.334151,-0.013456,0.011325,-0.034773
1772551335.3818047,1,0.0,63493,3,-0.177171,-0.081403,-11.678916,-0.044366,-0.006129,-0.018786
