compression_number,z_value,ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
1,95.0,714360,0.785298,0.45011,-11.559206,0.001199,-0.003597,-0.031576,0.555455,-0.296881,-11.353305,-0.013057,0.010259,-0.033441,0.253785,-0.148441,-11.717223,-0.043833,-0.005596,-0.019718,0.100556,0.469264,-11.621455,-0.02638,-0.007061,-0.00373
1,95.0,714429,0.785298,0.440533,-11.559206,0.000266,-0.00453,-0.031443,0.536301,-0.287304,-11.319786,-0.012257,0.011191,-0.032908,0.253785,-0.158017,-11.702858,-0.0441,-0.005995,-0.019319,0.081403,0.474052,-11.616667,-0.026646,-0.006928,-0.00453
1,95.0,714498,0.699107,0.746991,-12.028469,-0.038104,-0.018386,-0.011458,0.105345,0.023942,-11.822568,0.002931,0.029711,-0.018386,-0.306458,-0.21069,-11.51611,-0.077274,0.005995,-0.009459,-0.110133,0.402226,-11.69807,-0.015588,0.03504,0.00493
1,95.0,714567,0.550666,0.339977,-11.463438,-0.001466,-0.016387,-0.042101,0.339977,-0.35913,-11.27669,-0.006262,0.009459,-0.042767,0.043096,-0.076614,-11.923124,-0.058222,-0.011458,-0.026913,-0.196325,0.560243,-11.650186,-0.011991,0.016387,-0.008926
1,95.0,714636,0.746991,0.378284,-11.702858,-0.004796,-0.010792,-0.036905,0.665588,-0.3304,-11.372458,-0.011058,0.018786,-0.036505,0.35913,0.014365,-11.903971,-0.043966,-0.005862,-0.017986,-0.014365,0.632069,-11.789049,-0.029577,0.016387,0.001066
1,95.0,714705,1.077391,0.268151,-11.501745,-0.003464,-0.012923,-0.037438,0.92895,-0.430956,-11.382035,-0.001732,0.0004,-0.038371,0.550666,-0.138864,-11.880029,-0.040369,-0.003597,-0.021184,0.253785,0.474052,-11.592725,-0.015188,0.007727,-0.003198
1,95.0,714774,-0.23942,0.134075,-11.008539,0.006795,-0.014522,-0.0441,-0.248997,-0.469264,-10.989386,-0.018919,-0.001466,-0.038237,-0.517148,-0.100556,-12.181698,-0.027446,-0.005995,-0.023582,-0.881066,0.536301,-11.93749,-0.042634,-0.003597,-0.006395
1,95.0,714843,0.565032,0.311246,-11.51611,0.005862,-0.019585,-0.037305,0.320823,-0.335188,-11.348516,-0.007861,0.002798,-0.037038,0.043096,-0.201113,-11.84651,-0.028645,-0.00493,-0.023049,-0.143652,0.435745,-11.913548,-0.030377,-0.00373,-0.008127
1,95.0,714912,0.737414,0.402226,-11.63582,0.002665,-0.01279,-0.032242,0.521936,-0.306458,-11.362882,-0.007328,0.009726,-0.033308,0.21069,-0.148441,-11.793838,-0.037704,-0.00413,-0.019452,0.038307,0.474052,-11.765107,-0.025847,-0.002531,-0.002531
1,95.0,714981,0.790087,0.445322,-11.544841,0.0004,-0.003198,-0.032375,0.565032,-0.272939,-11.358093,-0.011991,0.010259,-0.034107,0.258574,-0.148441,-11.707646,-0.0433,-0.00453,-0.019718,0.110133,0.469264,-11.616667,-0.025714,-0.005196,-0.003864
1,95.0,715050,0.794875,0.454898,-11.597513,-0.001466,-0.005462,-0.031176,0.545878,-0.253785,-11.358093,-0.01279,0.010925,-0.031975,0.244209,-0.124498,-11.736377,-0.045299,-0.005862,-0.018919,0.081403,0.47884,-11.645397,-0.027446,-0.006662,-0.002531
1,95.0,715119,0.775721,0.435745,-11.568783,-0.000799,-0.006395,-0.033441,0.526724,-0.268151,-11.343728,-0.012657,0.011724,-0.033574,0.220267,-0.148441,-11.722012,-0.045565,-0.006129,-0.020518,0.086191,0.464475,-11.60709,-0.027046,-0.007194,-0.004397
1,95.0,715188,0.799663,0.440533,-11.583148,0.000666,-0.003864,-0.031309,0.560243,-0.248997,-11.343728,-0.013456,0.011458,-0.032242,0.258574,-0.134075,-11.683704,-0.045698,-0.005729,-0.018519,0.11971,0.459687,-11.626244,-0.02638,-0.007194,-0.003997
1,95.0,715257,0.814029,0.454898,-11.592725,0.0004,-0.006395,-0.033175,0.579397,-0.258574,-11.329363,-0.010525,0.010925,-0.03424,0.253785,-0.148441,-11.717223,-0.0437,-0.005063,-0.019585,0.100556,0.459687,-11.631032,-0.026646,-0.006795,-0.004796
1,95.0,715326,0.761356,0.445322,-11.568783,0.000133,-0.00453,-0.031043,0.526724,-0.268151,-11.358093,-0.012124,0.010126,-0.032508,0.229843,-0.153229,-11.688493,-0.0441,-0.006262,-0.019052,0.052672,0.454898,-11.621455,-0.027446,-0.006662,-0.002665
1,95.0,715395,0.785298,0.430956,-11.563994,0.000799,-0.004263,-0.033175,0.521936,-0.253785,-11.343728,-0.012657,0.011191,-0.03424,0.248997,-0.114922,-11.702858,-0.044766,-0.005063,-0.020917,0.076614,0.47884,-11.631032,-0.025847,-0.005596,-0.004263
1,95.0,715464,0.814029,0.445322,-11.563994,0.000799,-0.004263,-0.032109,0.588974,-0.268151,-11.33894,-0.012657,0.013057,-0.033841,0.258574,-0.153229,-11.731588,-0.044366,-0.005729,-0.020384,0.105345,0.445322,-11.631032,-0.027179,-0.006662,-0.003997
1,95.0,715533,0.799663,0.45011,-11.602302,0.000933,-0.004796,-0.031975,0.526724,-0.272939,-11.353305,-0.01319,0.011325,-0.033974,0.263362,-0.134075,-11.688493,-0.0441,-0.005196,-0.019319,0.09098,0.474052,-11.650186,-0.026779,-0.005596,-0.003198
1,95.0,715602,0.78051,0.445322,-11.587936,-0.000266,-0.005462,-0.031842,0.550666,-0.244209,-11.329363,-0.012391,0.010925,-0.033308,0.21069,-0.153229,-11.7268,-0.044499,-0.005995,-0.019185,0.071826,0.497994,-11.640609,-0.026779,-0.006395,-0.003864
1,95.0,715671,0.794875,0.435745,-11.583148,0.000666,-0.004663,-0.032375,0.550666,-0.263362,-11.319786,-0.011724,0.010925,-0.033441,0.248997,-0.129287,-11.69807,-0.045032,-0.006528,-0.019452,0.09098,0.464475,-11.616667,-0.02598,-0.007994,-0.002798
1,95.0,715740,0.799663,0.45011,-11.573571,0.001332,-0.00413,-0.031176,0.555455,-0.272939,-11.324574,-0.012923,0.011724,-0.032242,0.258574,-0.143652,-11.69807,-0.044766,-0.005596,-0.019985,0.095768,0.45011,-11.631032,-0.025847,-0.006662,-0.003997
1,95.0,715809,0.770933,0.440533,-11.563994,0.000666,-0.00413,-0.031842,0.531513,-0.263362,-11.319786,-0.012257,0.011191,-0.033441,0.220267,-0.129287,-11.712435,-0.045032,-0.005729,-0.019985,0.076614,0.459687,-11.568783,-0.026646,-0.006928,-0.00373
1,95.0,715878,0.770933,0.45011,-11.554418,0.0004,-0.003997,-0.032109,0.545878,-0.253785,-11.353305,-0.012923,0.012124,-0.033175,0.234632,-0.11971,-11.693281,-0.044766,-0.00493,-0.019585,0.09098,0.454898,-11.626244,-0.026113,-0.006395,-0.003597
1,95.0,715947,0.794875,0.459687,-11.597513,0.0,-0.004796,-0.032508,0.584185,-0.272939,-11.334151,-0.012657,0.011191,-0.03464,0.253785,-0.153229,-11.717223,-0.044233,-0.005995,-0.019718,0.071826,0.459687,-11.626244,-0.025714,-0.005995,-0.003198
1,95.0,716016,0.794875,0.464475,-11.573571,0.001066,-0.004263,-0.031176,0.555455,-0.272939,-11.329363,-0.011325,0.011724,-0.033175,0.234632,-0.114922,-11.7268,-0.045299,-0.006395,-0.019452,0.110133,0.469264,-11.645397,-0.02598,-0.005462,-0.003198
1,95.0,716085,0.790087,0.435745,-11.559206,0.000666,-0.004397,-0.032375,0.545878,-0.244209,-11.343728,-0.012524,0.011858,-0.032775,0.248997,-0.124498,-11.707646,-0.0441,-0.005729,-0.019585,0.067038,0.469264,-11.616667,-0.026779,-0.007328,-0.004397
1,95.0,716154,0.799663,0.42138,-11.554418,0.000799,-0.003864,-0.031975,0.54109,-0.248997,-11.334151,-0.013323,0.010792,-0.033708,0.220267,-0.153229,-11.745954,-0.044766,-0.006395,-0.019718,0.095768,0.474052,-11.640609,-0.02558,-0.006662,-0.003997
1,95.0,716223,0.790087,0.440533,-11.568783,0.000533,-0.004397,-0.031842,0.555455,-0.263362,-11.353305,-0.013323,0.011325,-0.033574,0.272939,-0.138864,-11.707646,-0.045432,-0.005329,-0.019185,0.100556,0.469264,-11.621455,-0.02638,-0.006395,-0.003464
1,95.0,716292,0.799663,0.445322,-11.559206,0.000799,-0.00493,-0.031975,0.54109,-0.268151,-11.334151,-0.01319,0.011325,-0.032775,0.234632,-0.129287,-11.717223,-0.044499,-0.006129,-0.019452,0.081403,0.469264,-11.645397,-0.026247,-0.006795,-0.003064
1,95.0,716361,0.785298,0.430956,-11.57836,0.001199,-0.006528,-0.032242,0.517148,-0.258574,-11.319786,-0.011591,0.011058,-0.033574,0.253785,-0.158017,-11.707646,-0.044366,-0.006662,-0.020384,0.081403,0.469264,-11.626244,-0.027446,-0.005462,-0.004663
1,95.0,716430,0.790087,0.435745,-11.544841,0.000533,-0.005063,-0.031842,0.550666,-0.263362,-11.334151,-0.012124,0.010925,-0.033308,0.272939,-0.134075,-11.741165,-0.044233,-0.005995,-0.019585,0.086191,0.47884,-11.621455,-0.02598,-0.007194,-0.00373
1,95.0,716499,0.799663,0.440533,-11.573571,0.001199,-0.004397,-0.032242,0.54109,-0.272939,-11.33894,-0.01279,0.010792,-0.034107,0.244209,-0.162806,-11.717223,-0.044499,-0.006129,-0.019185,0.095768,0.47884,-11.640609,-0.026779,-0.007328,-0.00373
1,95.0,716568,0.78051,0.445322,-11.573571,0.0,-0.004263,-0.031576,0.54109,-0.244209,-11.334151,-0.013057,0.009859,-0.033708,0.234632,-0.153229,-11.712435,-0.043833,-0.005729,-0.020118,0.110133,0.469264,-11.616667,-0.026113,-0.006395,-0.003864
1,95.0,716637,0.890643,0.383072,-11.291056,0.01279,0.010126,-0.026513,0.497994,-0.497994,-11.793838,0.012923,0.015588,-0.031043,0.263362,-0.373495,-11.985373,-0.017986,-0.002665,-0.020118,0.248997,0.3304,-11.386824,-0.023982,-0.073277,-0.001865
1,94.5,716706,0.766145,0.392649,-11.597513,0.017453,-0.006662,-0.031975,0.488417,-0.248997,-11.243171,-0.02145,0.015322,-0.034507,0.21069,-0.114922,-11.812991,-0.037704,-0.005329,-0.019585,0.086191,0.555455,-11.832145,-0.040902,0.001732,-0.005462
1,94.5,716775,0.857124,0.574608,-11.425131,0.022783,-0.006662,-0.029178,0.59855,-0.325611,-11.401189,-0.010792,0.02598,-0.030243,0.287304,-0.205901,-11.678916,-0.076741,-0.011058,-0.020384,0.196325,0.272939,-11.262324,0.0004,-0.059688,-0.003064
1,94.0,716844,0.799663,0.402226,-11.540052,0.010126,-0.001199,-0.031576,0.507571,-0.282516,-11.420342,-0.006662,0.013456,-0.033308,0.263362,-0.172383,-11.832145,-0.030776,-0.005063,-0.020917,0.158017,0.469264,-11.750742,-0.041168,-0.017187,-0.005063
