compression_number,z_value,ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
1,85.0,172296,0.632069,0.469264,-11.540052,0.000799,-0.003464,-0.032109,0.248997,-0.234632,-11.33894,-0.011858,0.011191,-0.034507,0.574608,-0.153229,-11.7268,-0.044499,-0.006262,-0.019585,0.162806,0.459687,-11.621455,-0.027046,-0.007061,-0.002931
1,85.0,172365,0.086191,0.354342,-10.994174,0.01692,-0.059688,-0.059954,-0.603339,-0.23942,-10.615891,0.044366,-0.181328,-0.047297,-0.225055,-0.45011,-11.789049,-0.005862,-0.06555,-0.041968,-0.445322,0.430956,-12.172121,-0.045299,-0.042234,-0.03877
1,85.0,172434,0.588974,0.191536,-11.415554,-0.033175,-0.058089,-0.061953,-0.076614,-0.612916,-11.104307,0.072744,-0.172268,-0.062485,0.497994,-0.416591,-11.597513,-0.041435,-0.064217,-0.047963,-0.354342,0.335188,-11.621455,-0.044499,-0.017187,-0.026913
1,85.0,172503,-0.177171,1.120486,-10.572795,0.089531,0.147487,-0.037704,-0.684742,0.205901,-11.425131,0.213037,-0.029178,-0.042234,-0.081403,0.502782,-11.951855,0.044233,-0.03091,-0.031043,-0.517148,0.943315,-11.439496,0.079539,-0.01732,-0.017054
1,85.0,172572,-0.229843,2.145205,-11.27669,-0.030377,0.05196,-0.204643,-1.240196,0.948104,-11.204864,0.131766,-0.007727,-0.215035,-0.656011,0.981623,-11.678916,-0.017187,0.038637,-0.204776,-0.790087,1.23062,-11.425131,-0.03504,0.04783,-0.192519
1,85.0,172641,0.253785,0.052672,-11.444284,-0.024515,-0.016654,-0.102855,0.153229,-0.924162,-11.33894,-0.027046,0.015988,-0.115645,0.861913,-0.3304,-11.219229,-0.068881,0.030776,-0.083003,-0.014365,0.301669,-11.410766,-0.042234,0.045965,-0.048096
1,85.0,172710,0.80924,-0.095768,-11.238382,-0.036905,-0.086734,0.243014,-0.804452,-1.546654,-12.167333,0.097792,0.05689,0.214769,0.162806,-1.268927,-11.865664,0.023715,0.033574,0.233554,-0.052672,-0.627281,-11.070788,0.016787,0.004397,0.24741
1,85.0,172779,0.550666,0.416591,-11.664551,-0.010392,-0.007994,-0.037172,-0.071826,-0.68953,-11.425131,-0.014256,0.01772,-0.048496,0.80924,-0.076614,-12.071565,-0.054492,0.014389,-0.024648,0.311246,0.593762,-11.908759,-0.029577,0.025181,-0.002398
1,85.0,172848,0.565032,0.47884,-11.506534,0.003331,-0.013723,-0.033974,-0.167594,-0.617704,-11.281479,-0.014123,0.014789,-0.042634,0.627281,-0.172383,-11.722012,-0.042634,-0.007328,-0.023049,0.215478,0.526724,-11.707646,-0.020118,-0.011458,-0.007061
1,85.0,172917,0.80924,0.459687,-11.544841,0.002531,-0.000933,-0.032242,-0.014365,-0.708684,-11.305421,-0.010925,0.022516,-0.03917,0.770933,-0.311246,-11.731588,-0.043567,-0.006395,-0.019851,0.354342,0.373495,-11.683704,-0.025447,-0.002265,-0.005063
1,85.0,172986,0.646434,0.430956,-11.549629,0.004397,-0.008394,-0.030776,-0.201113,-0.713472,-11.33894,-0.010126,0.011991,-0.036639,0.56982,-0.301669,-11.745954,-0.040636,-0.011191,-0.018253,0.110133,0.354342,-11.669339,-0.022116,-0.007727,-0.002265
1,85.0,173055,0.56982,0.493206,-11.540052,0.000799,-0.001466,-0.031576,-0.244209,-0.632069,-11.291056,-0.010792,0.015855,-0.037305,0.497994,-0.248997,-11.702858,-0.045698,-0.008527,-0.019452,0.081403,0.411803,-11.592725,-0.02638,-0.005462,-0.004263
1,85.0,173124,0.656011,0.47884,-11.554418,0.002132,-0.006928,-0.032109,-0.148441,-0.68953,-11.291056,-0.009459,0.011724,-0.038371,0.593762,-0.268151,-11.736377,-0.041835,-0.009326,-0.019585,0.138864,0.378284,-11.640609,-0.023982,-0.007194,-0.003997
1,85.0,173193,0.746991,0.445322,-11.554418,0.000133,-0.005596,-0.031709,-0.047884,-0.737414,-11.262324,-0.011991,0.012923,-0.038237,0.699107,-0.287304,-11.688493,-0.045032,-0.007861,-0.019718,0.287304,0.3304,-11.587936,-0.02598,-0.00826,-0.00373
1,85.0,173262,0.608127,0.488417,-11.57836,0.000266,-0.007328,-0.029311,-0.181959,-0.665588,-11.271901,-0.011325,0.011591,-0.035573,0.565032,-0.248997,-11.722012,-0.045299,-0.007328,-0.018386,0.11971,0.397437,-11.645397,-0.027046,-0.008394,-0.002265
1,85.0,173331,0.622492,0.507571,-11.573571,0.000266,-0.004397,-0.033041,-0.177171,-0.651223,-11.305421,-0.011191,0.014123,-0.038637,0.603339,-0.229843,-11.717223,-0.044499,-0.006662,-0.020518,0.167594,0.411803,-11.611878,-0.024648,-0.006662,-0.00453
1,85.0,173400,0.699107,0.464475,-11.587936,0.000533,-0.003997,-0.031975,-0.100556,-0.718261,-11.305421,-0.011858,0.014256,-0.037971,0.651223,-0.287304,-11.702858,-0.044366,-0.005729,-0.019185,0.196325,0.368707,-11.616667,-0.026913,-0.005596,-0.002798
1,85.0,173469,0.703895,0.483629,-11.57836,0.0004,-0.004796,-0.031043,-0.105345,-0.665588,-11.300632,-0.010658,0.011591,-0.037172,0.670376,-0.258574,-11.736377,-0.044366,-0.007194,-0.019052,0.244209,0.387861,-11.640609,-0.02638,-0.006928,-0.003997
1,85.0,173538,0.603339,0.497994,-11.559206,0.000933,-0.004796,-0.031043,-0.186748,-0.665588,-11.300632,-0.011325,0.013856,-0.036905,0.574608,-0.23942,-11.707646,-0.045165,-0.006129,-0.019319,0.143652,0.407014,-11.645397,-0.026513,-0.006129,-0.003331
1,85.0,173607,0.612916,0.47884,-11.573571,0.000799,-0.006528,-0.032908,-0.143652,-0.708684,-11.300632,-0.010525,0.012391,-0.037838,0.59855,-0.282516,-11.702858,-0.044499,-0.007061,-0.020651,0.181959,0.383072,-11.631032,-0.026247,-0.007328,-0.005196
1,85.0,173676,0.670376,0.47884,-11.568783,-0.000266,-0.00453,-0.031176,-0.095768,-0.675165,-11.27669,-0.010925,0.013456,-0.037305,0.651223,-0.258574,-11.741165,-0.044766,-0.006795,-0.020118,0.225055,0.368707,-11.645397,-0.026913,-0.006395,-0.003464
1,85.0,173745,0.656011,0.488417,-11.563994,0.0,-0.006262,-0.031309,-0.11971,-0.665588,-11.314998,-0.011191,0.011458,-0.036905,0.593762,-0.258574,-11.707646,-0.044632,-0.007594,-0.019585,0.196325,0.407014,-11.650186,-0.025847,-0.007461,-0.003864
