compression_number,z_value,ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
1,95.0,77835,0.670376,0.383072,-11.573571,-0.0004,-0.003331,-0.031975,0.727837,-0.258574,-11.353305,-0.013989,0.011724,-0.033441,0.086191,-0.172383,-11.712435,-0.044499,-0.005862,-0.019185,0.019154,0.397437,-11.626244,-0.025847,-0.007328,-0.00453
1,95.0,77904,0.651223,0.373495,-11.583148,-0.000133,-0.003331,-0.033041,0.732626,-0.258574,-11.319786,-0.013723,0.013456,-0.033574,0.105345,-0.177171,-11.688493,-0.0441,-0.005196,-0.019718,0.02873,0.426168,-11.602302,-0.027446,-0.006795,-0.003997
1,95.0,77973,0.670376,0.368707,-11.587936,0.000133,-0.002665,-0.032642,0.751779,-0.253785,-11.329363,-0.014389,0.012524,-0.033708,0.110133,-0.186748,-11.707646,-0.044499,-0.006395,-0.019851,0.019154,0.397437,-11.63582,-0.026913,-0.005995,-0.002798
1,95.0,78042,0.6608,0.383072,-11.57836,0.000666,-0.002265,-0.032109,0.751779,-0.277727,-11.319786,-0.014389,0.013323,-0.033175,0.09098,-0.167594,-11.702858,-0.045032,-0.006395,-0.018786,0.014365,0.397437,-11.650186,-0.027312,-0.007194,-0.003331
1,95.0,78111,0.6608,0.368707,-11.559206,0.000666,-0.003597,-0.032109,0.727837,-0.258574,-11.358093,-0.012657,0.011724,-0.032642,0.076614,-0.167594,-11.674128,-0.045032,-0.005729,-0.020518,0.033519,0.392649,-11.597513,-0.026913,-0.006795,-0.003464
1,95.0,78180,1.728614,0.407014,-12.454638,-0.012124,-0.016521,-0.01692,1.647211,-0.272939,-12.378023,0.028112,0.030243,-0.02225,0.852336,-0.21069,-12.033257,-0.071012,0.027446,-0.011191,0.847547,0.296881,-11.870452,0.002931,0.068081,0.004397
1,95.0,78249,1.474828,0.622492,-11.678916,0.023848,-0.014922,-0.024115,1.067814,-0.043096,-11.621455,-0.003597,0.009193,-0.026247,0.363919,-0.430956,-11.540052,-0.036772,-0.028112,-0.018386,0.641646,0.105345,-11.501745,-0.007328,-0.015055,-0.016121
1,95.0,78318,0.407014,0.502782,-11.808203,-0.009193,0.001066,-0.02598,0.440533,-0.138864,-11.425131,-0.008127,0.019452,-0.031309,-0.172383,-0.143652,-11.616667,-0.063418,0.010658,-0.016254,-0.095768,0.354342,-11.563994,-0.017187,0.019319,-0.00373
1,95.0,78387,0.56982,0.373495,-11.48738,-0.001066,-0.010925,-0.033708,0.679953,-0.258574,-11.271901,-0.005596,0.003331,-0.032775,-0.009577,-0.177171,-11.664551,-0.029844,-0.011724,-0.020518,-0.09098,0.392649,-11.760319,-0.025447,-0.004263,-0.003997
1,95.0,78456,0.876278,0.464475,-11.678916,0.008394,-0.002265,-0.031043,0.814029,-0.143652,-11.257536,-0.024781,0.028112,-0.033841,0.153229,-0.220267,-11.573571,-0.049029,0.002798,-0.021317,0.177171,0.316035,-11.69807,-0.022783,0.011458,-0.008127
1,95.0,78525,-0.253785,0.21069,-11.530476,0.000266,-0.013057,-0.034107,-0.067038,-0.392649,-11.57836,0.010792,-0.000666,-0.032109,-0.723049,-0.177171,-11.84651,-0.026247,0.022116,-0.021583,-0.933739,0.397437,-11.573571,-0.010126,0.008926,0.001466
1,95.0,78594,0.177171,0.579397,-11.923124,-0.00906,-0.003864,-0.024648,0.402226,-0.004788,-11.492168,-0.026913,0.024248,-0.024115,-0.253785,0.100556,-11.961432,-0.050628,0.005462,-0.00826,-0.172383,0.665588,-12.028469,-0.044499,0.003198,0.005596
1,95.0,78663,0.675165,0.392649,-11.745954,0.001466,-0.018386,-0.03504,0.723049,-0.268151,-11.36767,-0.007328,0.003864,-0.036239,0.071826,-0.134075,-11.827356,-0.031709,-0.007994,-0.023449,-0.062249,0.45011,-11.856087,-0.032109,-0.00866,-0.005462
1,95.0,78732,0.833182,0.383072,-11.51611,0.0,-0.002132,-0.033574,0.842759,-0.268151,-11.334151,-0.012923,0.011591,-0.03504,0.205901,-0.172383,-11.678916,-0.042368,-0.007994,-0.022649,0.11971,0.397437,-11.554418,-0.025714,-0.009193,-0.006528
1,95.0,78801,0.699107,0.35913,-11.60709,-0.001865,-0.002931,-0.03011,0.751779,-0.268151,-11.324574,-0.015588,0.010525,-0.032109,0.105345,-0.172383,-11.69807,-0.047164,-0.007461,-0.01772,0.004788,0.363919,-11.616667,-0.028245,-0.009193,-0.001998
1,95.0,78870,0.608127,0.42138,-11.559206,-0.000533,-0.003198,-0.032642,0.665588,-0.220267,-11.33894,-0.013723,0.012657,-0.03424,0.009577,-0.162806,-11.683704,-0.045032,-0.005729,-0.019452,-0.067038,0.426168,-11.602302,-0.027845,-0.006662,-0.004397
1,95.0,78939,0.727837,0.392649,-11.554418,-0.0004,-0.002931,-0.032642,0.804452,-0.248997,-11.334151,-0.01359,0.011058,-0.033308,0.114922,-0.167594,-11.7268,-0.045432,-0.005063,-0.019985,0.047884,0.397437,-11.626244,-0.027579,-0.007994,-0.003864
1,95.0,79008,0.761356,0.3304,-11.592725,0.000666,-0.003597,-0.032642,0.80924,-0.292093,-11.343728,-0.012524,0.011858,-0.033175,0.143652,-0.191536,-11.717223,-0.044766,-0.007194,-0.020118,0.067038,0.383072,-11.621455,-0.027046,-0.007461,-0.00453
1,95.0,79077,0.665588,0.402226,-11.597513,0.0,-0.004796,-0.031443,0.713472,-0.244209,-11.324574,-0.013456,0.011191,-0.031842,0.071826,-0.162806,-11.731588,-0.045565,-0.006129,-0.019185,-0.009577,0.416591,-11.631032,-0.027179,-0.007061,-0.002665
1,95.0,79146,0.641646,0.383072,-11.559206,0.000133,-0.003864,-0.032375,0.694318,-0.225055,-11.348516,-0.01279,0.01279,-0.033574,0.057461,-0.143652,-11.722012,-0.044766,-0.005196,-0.020118,-0.057461,0.411803,-11.597513,-0.026513,-0.006129,-0.004397
1,95.0,79215,0.708684,0.373495,-11.563994,-0.000666,-0.00373,-0.031842,0.80924,-0.258574,-11.324574,-0.013723,0.012124,-0.032908,0.114922,-0.186748,-11.736377,-0.044766,-0.005329,-0.019985,0.023942,0.368707,-11.626244,-0.025847,-0.006662,-0.003064
1,95.0,79284,0.713472,0.368707,-11.554418,0.0,-0.00413,-0.031975,0.794875,-0.272939,-11.305421,-0.011991,0.011858,-0.033041,0.124498,-0.167594,-11.688493,-0.043966,-0.005596,-0.019319,0.02873,0.397437,-11.621455,-0.026913,-0.006395,-0.003198
1,95.0,79353,0.675165,0.387861,-11.549629,0.001332,-0.00413,-0.032109,0.713472,-0.234632,-11.334151,-0.01279,0.010792,-0.033308,0.067038,-0.124498,-11.717223,-0.044899,-0.005995,-0.019185,-0.014365,0.407014,-11.57836,-0.027312,-0.005729,-0.002798
1,95.0,79422,0.675165,0.35913,-11.583148,0.000266,-0.003331,-0.032375,0.732626,-0.277727,-11.348516,-0.01359,0.012391,-0.03424,0.067038,-0.162806,-11.707646,-0.044366,-0.006262,-0.019585,-0.009577,0.392649,-11.60709,-0.026247,-0.006395,-0.004263
