compression_number,z_value,ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
0,95.0,1499134,0.981623,0.134075,-11.57836,0.000666,-0.005329,-0.031975,0.857124,-0.129287,-11.348516,-0.011724,0.011058,-0.033308,0.234632,0.124498,-11.707646,-0.044499,-0.005596,-0.019718,-0.009577,0.124498,-11.626244,-0.026113,-0.005729,-0.005063
1,95.0,1499203,0.991199,0.134075,-11.583148,0.000933,-0.005196,-0.032109,0.857124,-0.11971,-11.343728,-0.011991,0.010925,-0.033974,0.248997,0.134075,-11.7268,-0.045965,-0.006395,-0.019985,0.019154,0.134075,-11.645397,-0.025847,-0.006129,-0.004663
1,95.0,1499272,-1.283292,1.345541,-10.97502,-0.067282,0.053959,-0.064351,-1.312023,0.579397,-13.172897,0.027312,-0.042767,-0.058755,-2.413355,1.647211,-12.454638,0.036239,-0.061819,-0.045965,-4.271256,1.493982,-12.057199,-0.114979,-0.112314,-0.002665
1,95.0,1499341,1.987187,0.047884,-11.84651,0.004796,-0.013989,-0.044632,1.355118,-0.272939,-11.348516,-0.019452,-0.01732,-0.051827,0.35913,-0.057461,-11.602302,-0.04783,-0.005862,-0.043567,-0.301669,-0.047884,-11.343728,-0.012257,-0.000933,-0.01772
1,95.0,1499410,0.742203,0.11971,-11.496957,-0.012524,0.018119,-0.029711,0.981623,-0.038307,-11.410766,-0.008793,0.018919,-0.027179,0.517148,0.407014,-11.765107,-0.048496,-0.004263,-0.010392,0.35913,0.459687,-11.851298,-0.038637,-0.006528,0.003064
1,95.0,1499479,1.063026,0.062249,-11.468226,0.013856,-0.002132,-0.032242,0.92895,-0.134075,-11.15698,-0.024914,0.016387,-0.034107,0.234632,0.158017,-11.999739,-0.035173,-0.008527,-0.020251,-0.043096,0.134075,-11.75553,-0.029977,-0.011991,-0.005462
1,95.0,1499548,1.441309,0.177171,-11.501745,0.005196,-0.015988,-0.034107,1.029507,0.043096,-11.353305,-0.010658,0.005729,-0.037838,0.014365,0.497994,-11.631032,-0.029311,-0.031709,-0.022783,-0.775721,0.54109,-12.033257,-0.032775,-0.03091,0.000133
1,95.0,1499617,0.919373,0.143652,-11.645397,0.000533,-0.001732,-0.032775,0.804452,-0.114922,-11.372458,-0.010525,0.00866,-0.035306,0.201113,0.138864,-11.760319,-0.044366,-0.005329,-0.019718,-0.014365,0.138864,-11.645397,-0.026247,-0.000799,-0.00493
1,95.0,1499686,0.92895,0.153229,-11.573571,0.000799,-0.002931,-0.031309,0.814029,-0.114922,-11.319786,-0.012391,0.009593,-0.033175,0.177171,0.114922,-11.731588,-0.0441,-0.006528,-0.018919,-0.076614,0.124498,-11.664551,-0.026646,-0.006662,-0.005196
1,95.0,1499755,1.005565,0.11971,-11.573571,0.001599,-0.004663,-0.033041,0.890643,-0.138864,-11.334151,-0.011991,0.010792,-0.03544,0.253785,0.114922,-11.722012,-0.044632,-0.006395,-0.020384,0.023942,0.105345,-11.669339,-0.027179,-0.007461,-0.005995
1,95.0,1499824,1.000776,0.143652,-11.559206,0.000533,-0.004397,-0.03091,0.890643,-0.11971,-11.33894,-0.011991,0.011058,-0.032908,0.258574,0.148441,-11.707646,-0.044899,-0.005862,-0.018786,0.023942,0.114922,-11.645397,-0.026646,-0.006395,-0.003198
1,95.0,1499893,0.967257,0.124498,-11.559206,0.000666,-0.00413,-0.032775,0.823605,-0.134075,-11.343728,-0.011458,0.011325,-0.034507,0.21069,0.11971,-11.707646,-0.044632,-0.006129,-0.020251,-0.023942,0.129287,-11.654974,-0.026913,-0.007994,-0.003331
1,95.0,1499962,0.986411,0.153229,-11.587936,0.001199,-0.005196,-0.031709,0.852336,-0.129287,-11.358093,-0.011458,0.011191,-0.033308,0.23942,0.134075,-11.736377,-0.044899,-0.005462,-0.019185,0.019154,0.134075,-11.640609,-0.02598,-0.005596,-0.003864
1,95.0,1500031,1.005565,0.134075,-11.563994,0.001066,-0.00453,-0.033175,0.895431,-0.134075,-11.334151,-0.012391,0.011325,-0.034374,0.258574,0.158017,-11.707646,-0.044766,-0.004397,-0.019851,0.043096,0.148441,-11.640609,-0.025847,-0.006662,-0.004663
1,95.0,1500100,1.000776,0.114922,-11.563994,0.000133,-0.004263,-0.030377,0.866701,-0.124498,-11.377247,-0.01279,0.011058,-0.033041,0.23942,0.110133,-11.722012,-0.0441,-0.005196,-0.018386,0.0,0.134075,-11.631032,-0.02638,-0.006928,-0.003864
1,95.0,1500169,0.962469,0.138864,-11.592725,0.001066,-0.005063,-0.031709,0.847547,-0.129287,-11.362882,-0.011991,0.011858,-0.034107,0.225055,0.148441,-11.69807,-0.045432,-0.005196,-0.020118,-0.023942,0.134075,-11.650186,-0.026779,-0.006129,-0.005329
1,95.0,1500238,0.991199,0.129287,-11.573571,0.000133,-0.00413,-0.032375,0.852336,-0.114922,-11.358093,-0.011991,0.011458,-0.033841,0.248997,0.138864,-11.7268,-0.044632,-0.005862,-0.019185,0.014365,0.138864,-11.645397,-0.02598,-0.005995,-0.003864
