compression_number,z_value,ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
1,95.0,985323,0.392649,0.378284,-11.587936,-0.000533,-0.006262,-0.032109,0.225055,-0.392649,-11.314998,-0.01319,0.011058,-0.033841,-0.397437,-0.306458,-11.688493,-0.044766,-0.006395,-0.019851,-0.603339,0.244209,-11.597513,-0.027579,-0.006528,-0.003064
1,95.0,985392,0.383072,0.368707,-11.573571,0.001199,-0.005596,-0.031176,0.201113,-0.387861,-11.343728,-0.012657,0.010259,-0.032508,-0.45011,-0.311246,-11.69807,-0.044766,-0.005862,-0.020118,-0.622492,0.268151,-11.592725,-0.027046,-0.006395,-0.003864
1,95.0,985461,0.397437,0.373495,-11.563994,0.000133,-0.006528,-0.032908,0.23942,-0.402226,-11.305421,-0.011991,0.009992,-0.034773,-0.426168,-0.292093,-11.678916,-0.045565,-0.006395,-0.019985,-0.608127,0.23942,-11.587936,-0.02638,-0.007194,-0.005329
1,95.0,985530,0.397437,0.368707,-11.57836,0.000133,-0.005462,-0.031975,0.248997,-0.392649,-11.319786,-0.013456,0.011325,-0.033441,-0.411803,-0.292093,-11.693281,-0.045032,-0.004663,-0.019718,-0.579397,0.23942,-11.563994,-0.027446,-0.006528,-0.003597
1,95.0,985599,0.368707,0.363919,-11.573571,0.0,-0.005462,-0.032375,0.220267,-0.387861,-11.314998,-0.012257,0.011191,-0.033041,-0.426168,-0.306458,-11.664551,-0.045032,-0.005862,-0.018786,-0.612916,0.258574,-11.583148,-0.026113,-0.006129,-0.003331
1,95.0,985668,0.368707,0.363919,-11.592725,0.000266,-0.005196,-0.032109,0.201113,-0.392649,-11.286267,-0.012657,0.010525,-0.033175,-0.42138,-0.311246,-11.664551,-0.044233,-0.006129,-0.019452,-0.59855,0.258574,-11.592725,-0.027179,-0.006395,-0.003997
1,95.0,985737,0.387861,0.373495,-11.563994,0.000533,-0.004397,-0.032109,0.248997,-0.397437,-11.319786,-0.012257,0.011191,-0.033574,-0.430956,-0.296881,-11.669339,-0.044766,-0.005729,-0.019718,-0.59855,0.244209,-11.583148,-0.026513,-0.007194,-0.004397
1,95.0,985806,0.407014,0.373495,-11.554418,0.0,-0.003997,-0.031975,0.225055,-0.397437,-11.334151,-0.01279,0.011058,-0.033175,-0.42138,-0.301669,-11.645397,-0.044632,-0.005862,-0.019052,-0.584185,0.253785,-11.587936,-0.02638,-0.006528,-0.004263
1,95.0,985875,0.373495,0.363919,-11.592725,-0.000133,-0.004796,-0.031709,0.205901,-0.392649,-11.334151,-0.012657,0.011591,-0.033708,-0.430956,-0.311246,-11.664551,-0.045299,-0.005862,-0.019585,-0.59855,0.253785,-11.587936,-0.026646,-0.007328,-0.004663
1,95.0,985944,0.383072,0.373495,-11.587936,0.000799,-0.004397,-0.032508,0.21069,-0.383072,-11.33894,-0.012391,0.011591,-0.033974,-0.430956,-0.311246,-11.664551,-0.045165,-0.005329,-0.020384,-0.608127,0.263362,-11.597513,-0.026247,-0.006795,-0.003064
1,95.0,986013,0.397437,0.368707,-11.544841,0.000533,-0.00413,-0.032375,0.229843,-0.407014,-11.334151,-0.012923,0.011191,-0.03424,-0.411803,-0.301669,-11.654974,-0.044899,-0.005596,-0.019718,-0.608127,0.253785,-11.573571,-0.026779,-0.006662,-0.003864
1,95.0,986082,0.387861,0.373495,-11.544841,0.001066,-0.005329,-0.032109,0.229843,-0.392649,-11.329363,-0.012524,0.011058,-0.033441,-0.440533,-0.316035,-11.683704,-0.044766,-0.005862,-0.020651,-0.627281,0.268151,-11.597513,-0.026513,-0.007194,-0.003331
1,95.0,986151,0.244209,0.3304,-11.511322,0.02145,0.009193,-0.033308,0.052672,-0.387861,-11.281479,-0.017853,0.006795,-0.032375,-0.469264,-0.253785,-12.282255,-0.009859,0.022116,-0.024515,-0.531513,0.339977,-11.860875,-0.043567,0.01692,-0.002798
1,94.5,986220,0.311246,0.378284,-11.750742,-0.001732,-0.042101,-0.031043,0.244209,-0.402226,-11.15698,-0.009459,0.007328,-0.033041,-0.387861,-0.301669,-11.587936,-0.059155,-0.017187,-0.018519,-0.502782,0.225055,-11.152191,-0.027446,0.002798,-0.002398
1,94.5,986289,0.392649,0.373495,-11.631032,-0.012257,0.001732,-0.032109,0.335188,-0.42138,-11.496957,-0.000533,0.002665,-0.03504,-0.363919,-0.282516,-11.300632,-0.066349,0.002931,-0.018253,-0.565032,0.258574,-11.104307,-0.026113,0.002398,-0.00453
1,94.0,986358,0.397437,0.368707,-11.540052,0.00373,0.014256,-0.031842,0.114922,-0.392649,-11.496957,-0.007061,0.006928,-0.03424,-0.512359,-0.277727,-11.913548,-0.025314,0.025714,-0.023449,-0.708684,0.3304,-11.7268,-0.03091,0.016521,-0.005329
1,94.0,986427,0.258574,0.344765,-11.501745,0.005063,0.017054,-0.03504,0.263362,-0.411803,-11.439496,0.004397,0.006795,-0.03544,-0.339977,-0.23942,-11.683704,-0.057023,0.00906,-0.019319,-0.517148,0.263362,-11.003751,-0.029711,0.021184,-0.00413
1,94.0,986496,0.47884,0.397437,-11.525687,-0.010925,-0.015322,-0.029844,0.229843,-0.373495,-11.434708,-0.00866,0.014789,-0.032775,-0.435745,-0.411803,-11.674128,-0.03504,0.000533,-0.020917,-0.617704,0.162806,-11.51611,-0.026247,-0.00373,-0.005995
1,93.5,986565,0.387861,0.387861,-11.597513,0.003864,-0.014789,-0.03464,0.205901,-0.387861,-11.238382,-0.022516,0.014522,-0.034374,-0.521936,-0.311246,-11.793838,-0.03504,-0.017587,-0.02185,-0.675165,0.225055,-11.96622,-0.022916,-0.022916,-0.00493
1,93.0,986634,0.363919,0.339977,-11.583148,0.005063,-0.008394,-0.028645,0.205901,-0.407014,-11.286267,-0.023715,0.028378,-0.030643,-0.45011,-0.268151,-11.84651,-0.040902,0.001466,-0.015988,-0.684742,0.301669,-11.391612,-0.036505,0.021051,0.000799
1,93.0,986703,0.325611,0.411803,-11.382035,0.004796,0.01279,-0.03091,0.100556,-0.339977,-11.195287,-0.018253,0.033708,-0.033041,-0.47884,-0.339977,-12.124237,-0.020251,0.002931,-0.022783,-0.603339,0.258574,-12.105083,-0.034907,-0.024248,-0.00453
1,93.0,986772,0.383072,0.339977,-11.60709,-0.005063,-0.032508,-0.034107,0.23942,-0.411803,-11.18571,-0.010392,-0.001599,-0.033708,-0.325611,-0.201113,-11.784261,-0.040236,-0.021184,-0.019985,-0.488417,0.3304,-11.382035,-0.030243,0.000133,-0.003464
