compression_number,z_value,ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
1,95.0,901212,0.857124,0.531513,-11.559206,-0.000266,-0.004663,-0.031842,0.670376,-0.215478,-11.324574,-0.012524,0.011325,-0.033574,0.23942,-0.100556,-11.702858,-0.045165,-0.007061,-0.019718,0.110133,0.416591,-11.640609,-0.026247,-0.006795,-0.004263
1,95.0,901281,0.866701,0.550666,-11.568783,0.001066,-0.00493,-0.032109,0.679953,-0.225055,-11.329363,-0.01279,0.009859,-0.033175,0.244209,-0.110133,-11.707646,-0.044632,-0.005462,-0.020384,0.143652,0.407014,-11.640609,-0.027179,-0.006928,-0.00413
1,95.0,901350,-0.062249,0.383072,-11.463438,0.022516,-0.037704,-0.039836,-0.512359,-0.363919,-10.864887,-0.022649,-0.011724,-0.0437,-0.943315,-0.45011,-11.386824,-0.033574,-0.043567,-0.031043,-1.024718,0.100556,-11.798626,-0.039703,-0.035706,-0.018786
1,95.0,901419,0.708684,0.588974,-11.7268,0.005862,-0.020384,-0.033708,0.483629,-0.177171,-11.300632,-0.020518,0.00493,-0.037704,-0.11971,0.009577,-11.391612,-0.067282,-0.037305,-0.020784,-0.368707,0.507571,-11.525687,-0.027046,-0.024381,-0.004263
1,95.0,901488,1.206678,0.612916,-11.722012,0.008793,-0.000799,-0.027979,0.919373,-0.143652,-11.377247,-0.001332,0.019319,-0.031576,0.349553,-0.043096,-11.650186,-0.060221,-0.013323,-0.01772,0.282516,0.445322,-11.650186,-0.015721,0.010259,-0.001066
1,95.0,901557,1.25935,0.301669,-11.391612,-0.004263,-0.000533,-0.039969,1.225831,-0.435745,-11.36767,-0.001599,0.010525,-0.03877,0.718261,-0.043096,-11.836933,-0.051427,0.000799,-0.020784,0.440533,0.512359,-11.559206,-0.015588,0.01732,-0.001466
1,95.0,901626,-0.009577,0.301669,-11.056423,0.0,-0.011724,-0.046764,-0.134075,-0.411803,-10.979809,-0.028511,-0.002665,-0.045965,-0.507571,-0.134075,-11.990162,-0.036106,-0.002931,-0.029577,-0.814029,0.411803,-11.707646,-0.038104,0.0004,-0.011724
1,95.0,901695,0.617704,0.45011,-11.449073,0.008527,-0.009992,-0.033175,0.426168,-0.296881,-11.161768,-0.008793,0.005862,-0.03424,-0.043096,-0.201113,-11.640609,-0.036106,-0.010126,-0.021317,-0.143652,0.335188,-11.621455,-0.024381,-0.009992,-0.005196
1,95.0,901764,0.775721,0.54109,-11.520899,0.004663,-0.009726,-0.034107,0.622492,-0.196325,-11.300632,-0.00906,0.007594,-0.03544,0.148441,-0.062249,-11.722012,-0.039703,-0.007727,-0.020118,-0.019154,0.45011,-11.650186,-0.02598,-0.007328,-0.003864
1,95.0,901833,0.857124,0.512359,-11.511322,0.000933,-0.005329,-0.032375,0.699107,-0.234632,-11.286267,-0.011325,0.011991,-0.034907,0.23942,-0.110133,-11.693281,-0.0433,-0.006129,-0.02145,0.134075,0.411803,-11.587936,-0.025714,-0.005596,-0.003864
1,95.0,901902,0.837971,0.521936,-11.544841,0.001332,-0.005462,-0.031842,0.665588,-0.23942,-11.334151,-0.011458,0.010792,-0.033308,0.23942,-0.095768,-11.717223,-0.043433,-0.005995,-0.019052,0.11971,0.426168,-11.63582,-0.026513,-0.005596,-0.002398
1,95.0,901971,0.823605,0.550666,-11.554418,-0.000666,-0.00493,-0.033574,0.651223,-0.225055,-11.334151,-0.012391,0.011858,-0.035173,0.201113,-0.110133,-11.693281,-0.044366,-0.005862,-0.020651,0.124498,0.435745,-11.645397,-0.026646,-0.005596,-0.004397
1,95.0,902040,0.871489,0.54109,-11.540052,0.000266,-0.005329,-0.031443,0.679953,-0.21069,-11.305421,-0.012657,0.011058,-0.033041,0.229843,-0.086191,-11.693281,-0.043966,-0.005596,-0.019052,0.148441,0.440533,-11.640609,-0.026247,-0.006528,-0.004263
