compression_number,z_value,ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
1,95.0,847875,0.919373,0.593762,-11.554418,-0.000666,-0.005729,-0.031709,0.579397,-0.268151,-11.334151,-0.012524,0.010925,-0.032642,0.392649,-0.153229,-11.717223,-0.045432,-0.005063,-0.020651,0.196325,0.469264,-11.631032,-0.027312,-0.006928,-0.003597
1,95.0,847944,0.804452,0.641646,-11.563994,0.000799,-0.004663,-0.028112,0.502782,-0.196325,-11.324574,-0.012657,0.011191,-0.029711,0.311246,-0.076614,-11.712435,-0.043966,-0.006129,-0.015455,0.086191,0.54109,-11.611878,-0.026913,-0.007328,-0.000266
1,95.0,848013,0.656011,0.727837,-11.559206,-0.012524,0.039303,-0.022649,0.90022,-0.124498,-11.57836,-0.009593,0.054358,-0.019718,0.962469,0.21069,-11.84651,-0.044632,0.046897,-0.003864,0.679953,0.823605,-11.506534,-0.02558,0.027312,0.014789
1,95.0,848082,0.814029,0.368707,-11.429919,-0.001066,-0.000666,-0.027712,0.703895,-0.411803,-11.152191,-0.024914,0.02598,-0.026513,0.512359,-0.205901,-11.717223,-0.059821,-0.018386,-0.009193,0.287304,0.383072,-11.645397,-0.026513,-0.014256,0.006262
1,95.0,848151,1.010353,0.708684,-11.530476,0.0004,0.001732,-0.032109,0.469264,-0.172383,-11.291056,-0.027979,0.024515,-0.038504,0.220267,-0.196325,-11.63582,-0.05649,-0.032775,-0.023582,0.02873,0.407014,-11.616667,-0.029577,-0.029178,-0.009726
1,95.0,848220,1.953669,0.713472,-11.880029,0.004263,-0.001865,-0.023182,1.513135,-0.191536,-11.377247,-0.015988,0.015988,-0.027312,1.158794,-0.205901,-11.420342,-0.053026,-0.017853,-0.014522,1.010353,0.378284,-11.540052,-0.022116,-0.008926,-0.000133
1,95.0,848289,2.437297,0.842759,-11.870452,0.005196,0.00373,-0.01692,1.73819,-0.095768,-11.745954,-0.004397,0.022783,-0.026513,1.240196,-0.35913,-11.310209,-0.057956,-0.019319,-0.019851,1.235408,0.244209,-11.252748,-0.002531,-0.021583,-0.00413
1,95.0,848358,1.197101,0.579397,-11.453861,0.005329,0.004663,-0.029977,0.775721,-0.292093,-11.252748,-0.012923,0.014389,-0.033175,0.54109,-0.296881,-11.453861,-0.047564,-0.011991,-0.02145,0.3304,0.325611,-11.348516,-0.018119,-0.013456,-0.005196
1,95.0,848427,0.828394,0.574608,-11.48738,-0.000799,-0.002132,-0.031709,0.521936,-0.244209,-11.295844,-0.015455,0.011991,-0.032775,0.311246,-0.143652,-11.659762,-0.046897,-0.006662,-0.021051,0.11971,0.474052,-11.506534,-0.027179,-0.010126,-0.00373
1,95.0,848496,0.756568,0.603339,-11.559206,0.001066,-0.00453,-0.038637,0.45011,-0.215478,-11.36767,-0.012257,0.010126,-0.039703,0.248997,-0.114922,-11.707646,-0.0441,-0.005995,-0.027179,0.023942,0.497994,-11.63582,-0.026513,-0.006795,-0.010525
1,95.0,848565,0.943315,0.507571,-11.563994,0.001599,-0.00413,-0.039303,0.617704,-0.3304,-11.314998,-0.011991,0.012524,-0.041835,0.435745,-0.244209,-11.669339,-0.045032,-0.005862,-0.028378,0.258574,0.392649,-11.611878,-0.025447,-0.006129,-0.011858
1,95.0,848634,1.039083,0.574608,-11.583148,0.0,-0.006262,-0.027046,0.727837,-0.292093,-11.358093,-0.012391,0.010658,-0.028645,0.550666,-0.167594,-11.707646,-0.045299,-0.006795,-0.014389,0.320823,0.454898,-11.616667,-0.026513,-0.007861,-0.000133
1,95.0,848703,0.818817,0.588974,-11.563994,0.000933,-0.005995,-0.033175,0.502782,-0.234632,-11.329363,-0.011991,0.009593,-0.035306,0.320823,-0.138864,-11.669339,-0.043167,-0.006129,-0.021983,0.110133,0.469264,-11.631032,-0.026513,-0.006795,-0.004663
